building number,x,y,width,height,number of avoiders,number of bold workers,average trips for avoiders,average trips for bold,average time per trip avoiders,average time per trip bold,average ticks mudders get tired
14,34,115,25,15,199,176,8.984924623115578,3.852272727272727,222.59507829977628,519.1740412979351,1317.892857142857
18,120,60,20,10,75,75,9,6.013333333333334,222.22222222222223,332.5942350332594,1317.892857142857
15,73,160,14,20,141,139,9.070921985815604,12.43884892086331,220.48475371383893,160.78658183921343,1317.892857142857
